始発,終着,銚子,仲ノ町,観音,本銚子,笠上黒生,西海鹿島,海鹿島,君ヶ浜,犬吠,外川
仲ノ町,外川,,0537,0539,0541,0543,0545,0546,0548,0550,0553
銚子,外川,0626,0628,0630,0632,0638,0639,0641,0643,0646,0648
仲ノ町,外川,,0653,0655,0657,0703,0704,0706,0708,0711,0713
銚子,外川,0716,0718,0720,0722,0728,0729,0731,0733,0736,0738
銚子,外川,0742,0744,0746,0748,0754,0755,0757,0759,0802,0804
銚子,外川,0810,0812,0814,0816,0822,0823,0825,0827,0830,0832
銚子,外川,0916,0918,0920,0922,0928,0929,0931,0933,0936,0938
銚子,外川,1020,1022,1024,1026,1032,1033,1035,1037,1040,1042
銚子,外川,1115,1117,1119,1121,1127,1128,1130,1132,1135,1137
銚子,外川,1220,1222,1224,1226,1232,1233,1235,1237,1240,1242
銚子,外川,1312,1314,1316,1318,1324,1325,1327,1329,1332,1334
銚子,外川,1405,1407,1409,1411,1417,1418,1420,1422,1425,1427
銚子,外川,1510,1512,1514,1516,1522,1523,1525,1527,1530,1532
銚子,外川,1603,1605,1607,1609,1615,1616,1618,1620,1623,1625
銚子,外川,1656,1658,1700,1702,1708,1709,1711,1713,1716,1718
銚子,外川,1745,1747,1749,1751,1757,1758,1800,1802,1805,1807
銚子,外川,1835,1837,1839,1841,1847,1848,1850,1852,1855,1857
銚子,外川,1933,1935,1937,1939,1945,1946,1948,1950,1953,1955
銚子,外川,2045,2047,2049,2051,2057,2058,2100,2102,2105,2107
