始発,終着,外川,犬吠,君ヶ浜,海鹿島,西海鹿島,笠上黒生,本銚子,観音,仲ノ町,銚子
外川,銚子,0600,0603,0605,0608,0609,0611,0613,0615,0617,0619
外川,銚子,0651,0654,0656,0659,0700,0702,0704,0706,0708,0710
外川,銚子,0716,0719,0721,0724,0725,0727,0729,0731,0733,0735
外川,銚子,0810,0813,0815,0818,0819,0821,0823,0825,0827,0829
外川,銚子,0839,0842,0844,0847,0848,0850,0852,0854,0856,0858
外川,銚子,0947,0950,0952,0955,0956,0958,1000,1002,1004,1006
外川,銚子,1144,1147,1149,1152,1153,1155,1157,1159,1201,1203
外川,銚子,1246,1249,1251,1254,1255,1257,1259,1301,1303,1305
外川,銚子,1341,1344,1346,1349,1350,1352,1354,1356,1358,1400
外川,銚子,1434,1437,1439,1442,1443,1445,1447,1449,1451,1453
外川,銚子,1539,1542,1544,1547,1548,1550,1552,1554,1556,1558
外川,銚子,1630,1633,1635,1638,1639,1641,1643,1645,1647,1649
外川,銚子,1721,1724,1726,1729,1730,1732,1734,1736,1738,1740
外川,銚子,1810,1813,1815,1818,1819,1821,1823,1825,1827,1829
外川,銚子,1907,1910,1912,1915,1916,1918,1920,1922,1924,1926
外川,銚子,2010,2013,2015,2018,2019,2021,2023,2025,2027,2029
外川,銚子,2115,2118,2120,2123,2124,2126,2128,2130,2132,2134
