始発,終着,赤湯,南陽市役所,宮内,おりはた,梨郷,西大塚,今泉,時庭,南長井,長井,あやめ公園,羽前成田,白兎,蚕桑,鮎貝,四季の郷,荒砥
赤湯,荒砥,0706,0708,0712,0715,0719,0724,0729,0733,0737,0741,0743,0746,0749,0752,0756,0758,0802
赤湯,荒砥,0744,0746,0750,0752,0756,0800,0808,0812,0816,0831,0833,0836,0839,0841,0846,0848,0851
赤湯,荒砥,0859,0902,0906,0908,0912,0917,0922,0926,0929,0932,0934,0937,0940,0943,0948,0949,0953
赤湯,荒砥,1047,1049,1053,1055,1059,1104,1109,1113,1116,1119,1121,1124,1127,1130,1134,1136,1140
赤湯,荒砥,1225,1227,1233,1236,1239,1244,1249,1253,1256,1259,1301,1304,1307,1310,1314,1316,1319
赤湯,荒砥,1305,1307,1311,1314,1318,1323,1328,1332,1336,1345,1347,1350,1353,1355,1400,1402,1405
赤湯,荒砥,1435,1438,1442,1444,1448,1453,1502,1506,1509,1512,1514,1517,1520,1523,1527,1529,1533
赤湯,荒砥,1557,1559,1603,1606,1609,1614,1624,1628,1631,1634,1636,1639,1642,1645,1649,1651,1655
赤湯,荒砥,1705,1707,1711,1714,1717,1722,1733,1737,1741,1744,1746,1749,1752,1754,1759,1801,1804
赤湯,荒砥,1836,1838,1843,1845,1849,1854,1905,1913,1916,1918,1921,1924,1927,1931,1933,1937,1938
赤湯,荒砥,1952,1954,1958,2001,2004,2009,2019,2023,2026,2029,2031,2034,2037,2040,2044,2046,2050
赤湯,荒砥,2050,2052,2056,2059,2102,2107,2118,2122,2125,2128,2130,2133,2136,2139,2143,2145,2149
