始発,終着,荒砥,四季の郷,鮎貝,蚕桑,白兎,羽前成田,あやめ公園,長井,南長井,時庭,今泉,西大塚,梨郷,おりはた,宮内,南陽市役所,赤湯
荒砥,赤湯,0545,0548,0550,0554,0557,0600,0603,0606,0608,0612,0617,0620,0625,0629,0632,0636,0638
荒砥,赤湯,0611,0615,0617,0621,0624,0628,0631,0634,0636,0640,0652,0655,0700,0704,0712,0716,0718
荒砥,赤湯,0714,0717,0720,0724,0727,0731,0734,0744,0747,0750,0808,0811,0816,0820,0825,0828,0830
荒砥,赤湯,0809,0812,0814,0819,0821,0824,0827,0830,0833,0837,0848,0851,0856,0900,0906,0909,0912
荒砥,赤湯,1023,1026,1028,1033,1035,1038,1041,1044,1047,1051,1109,1112,1117,1121,1124,1127,1129
荒砥,赤湯,1146,1149,1151,1155,1158,1201,1204,1207,1209,1213,1218,1221,1226,1230,1233,1237,1239
荒砥,赤湯,1324,1327,1329,1333,1336,1339,1342,1345,1347,1351,1356,1359,1404,1407,1411,1414,1416
荒砥,赤湯,1421,1424,1426,1430,1433,1436,1439,1442,1444,1448,1502,1505,1510,1514,1517,1520,1522
荒砥,赤湯,1551,1554,1556,1601,1603,1606,1609,1612,1615,1619,1626,1629,1634,1638,1641,1644,1646
荒砥,赤湯,1719,1722,1724,1728,1731,1734,1737,1743,1746,1749,1754,1758,1803,1806,1809,1813,1815
荒砥,赤湯,1822,1825,1827,1831,1834,1837,1840,1843,1846,1850,1905,1908,1913,1917,1920,1924,1926
荒砥,赤湯,1947,1950,1952,1956,1959,2002,2005,2008,2010,2014,2019,2022,2026,2030,2033,2036,2038
