始発,終着,北条町,播磨横田,長,播磨下里,法華口,田原,網引,粟生
北条町,粟生,0541,0544,0547,0550,0554,0556,0559,0604
北条町,粟生,0607,0610,0613,0616,0620,0622,0625,0630
北条町,粟生,0638,0641,0644,0647,0651,0653,0656,0701
北条町,粟生,0712,0715,0718,0721,0725,0727,0730,0735
北条町,粟生,0743,0746,0749,0752,0756,0758,0801,0806
北条町,粟生,0939,0942,0945,0948,0952,0954,0957,1002
北条町,粟生,1039,1042,1045,1048,1052,1054,1057,1102
北条町,粟生,1139,1142,1145,1148,1152,1154,1157,1202
北条町,粟生,1239,1242,1245,1248,1252,1254,1257,1302
北条町,粟生,1339,1342,1345,1348,1352,1354,1357,1402
北条町,粟生,1439,1442,1445,1448,1452,1454,1457,1502
北条町,粟生,1539,1542,1545,1548,1552,1554,1557,1602
北条町,粟生,1639,1642,1645,1648,1652,1654,1657,1702
北条町,粟生,1743,1746,1749,1752,1756,1758,1801,1806
北条町,粟生,1813,1816,1819,1822,1826,1828,1831,1836
北条町,粟生,1852,1855,1858,1901,1905,1907,1910,1915
北条町,粟生,1950,1953,1956,1959,2003,2005,2008,2013
北条町,粟生,2048,2051,2054,2057,2101,2103,2106,2111
北条町,粟生,2143,2146,2149,2152,2156,2158,2201,2206
北条町,粟生,2247,2250,2253,2256,2300,2302,2305,2310
