始発,終着,我孫子,北柏,柏,南柏,北小金,新松戸,馬橋,北松戸,松戸,金町,亀有,綾瀬,北千住
我孫子,成城学園前,0634,0637,0640,0643,0646,0648,0650,0652,0655,0659,0702,0705,0709
我孫子,成城学園前,0653,0656,0659,0702,0705,0707,0710,0712,0716,0720,0723,0727,0732
我孫子,成城学園前,0747,0751,0754,0757,0800,0802,0804,0806,0809,0813,0816,0819,0823
松戸,明治神宮前,,,,,,,,,0812,0816,0819,0822,0826
我孫子,明治神宮前,0818,0822,0825,0828,0831,0833,0835,0837,0842,0845,0848,0853,0857
我孫子,代々木上原,0901,0904,0907,0909,0912,0914,0917,0919,0921,0925,0928,0931,0935
我孫子,成城学園前,0908,0911,0914,0916,0919,0921,0924,0926,0928,0932,0935,0938,0941
我孫子,成城学園前,0926,0929,0932,0934,0937,0939,0942,0944,0947,0951,0954,0957,1000
松戸,代々木上原,,,,,,,,,1721,1725,1727,1731,1734
我孫子,代々木上原,1742,1745,1749,1752,1754,1757,1759,1801,1804,1807,1810,1813,1817
取手,成城学園前,1907,1910,1913,1916,1918,1921,1923,1925,1928,1931,1934,1938,1941
我孫子,伊勢原,1956,1959,2002,2005,2007,2010,2012,2014,2017,2020,2023,2027,2030
我孫子,代々木上原,2000,2003,2006,2009,2012,2014,2016,2018,2021,2025,2027,2031,2035
我孫子,成城学園前,2034,2037,2041,2044,2047,2049,2051,2053,2056,2100,2103,2106,2109
我孫子,伊勢原,2053,2056,2059,2102,2105,2107,2109,2111,2114,2118,2120,2125,2129
